split,utterance_id,text,token,source,offset
train,train-YH-999_SP07_0363928_0364597-25ac42aa23de,əFkɨM tɕəwR,˥,F,1
train,train-YH-999_SP07_0363928_0364597-25ac42aa23de,əFkɨM tɕəwR,˧,F,1
train,train-YH-999_SP07_0363928_0364597-25ac42aa23de,əFkɨM tɕəwR,˧,M,4
train,train-YH-999_SP07_0363928_0364597-25ac42aa23de,əFkɨM tɕəwR,˧,R,10
train,train-YH-999_SP07_0363928_0364597-25ac42aa23de,əFkɨM tɕəwR,˥,R,10
train,train-YH-868_SP04_3561207_3561795-2e2dd3a113d5,tyMnæF laMtɕəwM,˧,M,2
train,train-YH-868_SP04_3561207_3561795-2e2dd3a113d5,tyMnæF laMtɕəwM,˥,F,5
train,train-YH-868_SP04_3561207_3561795-2e2dd3a113d5,tyMnæF laMtɕəwM,˧,F,5
train,train-YH-868_SP04_3561207_3561795-2e2dd3a113d5,tyMnæF laMtɕəwM,˧,M,9
train,train-YH-868_SP04_3561207_3561795-2e2dd3a113d5,tyMnæF laMtɕəwM,˧,M,14
train,train-YH-999_SP08_3048889_3049691-96d6b08aafe6,mɔMkʰɔMʂujM,˧,M,2
train,train-YH-999_SP08_3048889_3049691-96d6b08aafe6,mɔMkʰɔMʂujM,˧,M,6
train,train-YH-999_SP08_3048889_3049691-96d6b08aafe6,mɔMkʰɔMʂujM,˧,M,10
train,train-YH-758_SP01_0218529_0219183-7f4dbbff532a,kaM hɛFpiM tsɨMwuF,˧,M,2
train,train-YH-758_SP01_0218529_0219183-7f4dbbff532a,kaM hɛFpiM tsɨMwuF,˥,F,6
train,train-YH-758_SP01_0218529_0219183-7f4dbbff532a,kaM hɛFpiM tsɨMwuF,˧,F,6
train,train-YH-758_SP01_0218529_0219183-7f4dbbff532a,kaM hɛFpiM tsɨMwuF,˧,M,9
train,train-YH-758_SP01_0218529_0219183-7f4dbbff532a,kaM hɛFpiM tsɨMwuF,˧,M,14
train,train-YH-758_SP01_0218529_0219183-7f4dbbff532a,kaM hɛFpiM tsɨMwuF,˥,F,17
train,train-YH-758_SP01_0218529_0219183-7f4dbbff532a,kaM hɛFpiM tsɨMwuF,˧,F,17
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,M,3
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,M,9
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˥,F,13
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,F,13
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,M,16
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˥,F,19
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,F,19
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,M,22
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,M,26
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,M,29
train,train-YH-999_SP07_2029696_2030941-f3a877503a4c,kjæMtɕʰjæM həFtəM əFhəM tɛMɕiMjyM,˧,M,32
train,train-YH-999_SP07_5441327_5442425-063f917a5806,tuMpæFsɨM ɦaMwaMtʰaMjiM,˧,M,2
train,train-YH-999_SP07_5441327_5442425-063f917a5806,tuMpæFsɨM ɦaMwaMtʰaMjiM,˥,F,5
train,train-YH-999_SP07_5441327_5442425-063f917a5806,tuMpæFsɨM ɦaMwaMtʰaMjiM,˧,F,5
train,train-YH-999_SP07_5441327_5442425-063f917a5806,tuMpæFsɨM ɦaMwaMtʰaMjiM,˧,M,8
train,train-YH-999_SP07_5441327_5442425-063f917a5806,tuMpæFsɨM ɦaMwaMtʰaMjiM,˧,M,12
